TrueAbun,EstF1,StdErrF1,ODTradF1,ODPercF1,EstR1,StdErrR1,ODTradR1,ODPercR1,EstF2,StdErrF2,ODTradF2,ODPercF2,EstR2,StdErrR2,ODTradR2,ODPercR2,EstF3,StdErrF3,ODTradF3,ODPercF3,EstR3,StdErrR3,ODTradR3,ODPercR3,EstF4,StdErrF4,ODTradF4,ODPercF4,EstR4,StdErrR4,ODTradR4,ODPercR4,SRS.Est,SRS.StdErr
1039,990.914466612125,81.0094441231375,1,1.29850903969103,993.225021352474,61.8734762453316,1,1.3655950484455,991.095692748818,81.0267809752438,1,1.2141858593846,991.859307048804,58.4287623965949,1,1.30919856007287,991.103502840006,81.0279229797153,1,1.13905681451449,992.336239012192,58.0133275337699,1,1.44136216311604,991.342154600073,81.0558659395574,1,1.28437729247838,992.253958251253,56.3634036771804,1,1.41751184663844,1105.44217687075,135.630756957378
1005,1003.22548955052,81.8144072730337,1,1.24862319899002,1006.89469871467,65.8247602995395,1,1.56295869431855,1001.03323712718,81.6067746216324,1,1.27929508002301,1003.56928452745,64.3620228425798,1,1.35485951929616,997.908520840424,81.2816166620459,1,1.57964910244817,1003.52553832907,62.677018301883,1,1.46493770541177,999.959034466552,81.6022537381449,1,1.64272849410055,1003.48825424866,61.4799001625248,1,1.54834209708769,1113.9455782313,135.7638093178
1066,1061.25868080923,83.9408789182127,1,1.95607816584322,1063.5540708196,67.3346997417787,1,1.72273001380979,1064.2129510146,84.3799033553499,1,1.66072600884547,1065.93655588215,59.9647832982758,1,1.64219733955003,1059.04736687027,83.7456689829025,1,1.59928853511336,1066.15270170882,58.3486067170474,1,1.71864253398036,3527644988.514,147268057.188567,47494.5426218562,263378.69036606,1063.4941542435,55.3023078061143,1,1.65573446308349,1181.97278911565,185.222278075798
956,766.628156582452,72.1093986771277,1,1.19332275221363,766.862655741605,61.2153977174607,1,1.46478651285971,774.658525458123,73.5846311966235,1,1.11410945156967,764.836535998509,57.4504290844133,1,1.63717490748147,1219.32722609196,118.302974022845,1.61044191767989,1.38995868068758,768.073726683834,54.3677831036969,1,1.33543599126846,788.930474920326,79.6208531243438,NA,1.20934964592084,779.515634226009,50.2151483212624,1,1.10734464624898,841.83673469388,113.246152698139
1006,997.74919286311,81.7358705256625,1,1.20057661657021,997.455284465338,64.7515326993403,1,1.35117304126986,1004.3641547997,82.5497552054114,1,1.2013397072046,998.58410102557,63.778651645523,1,1.3818485467852,1011.75315097358,84.1823481886701,1,1.30003973699231,1001.30695836699,58.1135855479072,1,1.36223593321343,1021.61093396138,90.3272009340565,1,1.51749747391414,1001.10376400594,56.750252410788,1,1.43702064375949,1105.44217687075,137.966705218097
985,975.551717429866,80.3861581077671,1,1.59654112767717,978.653391517645,60.2365699203324,1,1.69719248744289,977.965307009217,80.6949068705771,1,1.08282365300184,977.220517366722,54.4267553126061,1,1.03052884102667,975.937796380109,80.4345829245288,1,1.25184595071833,978.109893566046,47.860731073144,1,1.16397371015998,977.212216663183,80.6571719804778,1,1.3268830201994,977.872160268215,46.7509174631186,1,1.28235953534091,1088.43537414966,133.459942062377
1008,1014.17258103602,82.4296954058141,1,1.61078063347234,1014.74999898063,70.1185190879816,1,1.58957955751521,1012.79523742064,82.3785300600097,1,1.42636894530406,1011.61792860563,65.7827415868565,1,1.60292949748134,1013.41421866626,82.5816184356508,1,1.34780068932885,1011.35110924938,58.9891354779303,1,1.5940648903773,1022.56589050966,86.3847355209916,1,1.59649468555557,1011.37565249173,53.5782737871908,1,1.50055526533145,1122.44897959184,154.389858816034
992,891.860651896536,76.86536289798,1,2.09872696286926,895.520700252163,68.3942377115655,1,2.32957992326632,890.486516814648,76.730910143912,1,1.41884512870636,893.364672611863,59.8591333166329,1,1.89371999050417,890.214917512685,76.7168423641859,1,1.46409434650954,892.504724343378,55.2393702580185,1,1.69788785924593,904.305980385702,85.1526695175305,NA,1.33624675452134,892.71904275041,52.9302899071545,1,1.64704021385034,994.897959183676,132.857992477131
957,786.029386846833,73.9491084809801,1.1426516722821,2.22356866818388,785.785852705555,67.4827614375717,1,2.40783505532384,781.765586940929,73.7807548829567,1.25366907280265,1.51652759137371,784.214244821934,64.9172957315536,1,1.45828072732466,825.722645930113,92.9210279623657,1,1.51495487869734,808.471438519925,51.4654136456893,1,1.59136946530835,1235.360434886,107.707559092171,1,1.62485927525279,805.281783861112,48.2660502905903,1,1.61704359100966,850.340136054424,133.133907180439
989,1017.30196330353,82.3078358992662,1,1.48437914942774,1017.64418037364,65.9730384250968,1,1.56308806496568,1017.12262171805,82.3049076491506,1,1.24678409487085,1016.57284644682,60.7558083688338,1,1.5049030857624,1015.27111626197,82.1729242578491,1,1.2627790981229,1020.39015207074,57.4413192060285,1,1.27588631795882,1017.6434337528,82.4252264489953,1,1.20245314008431,1017.93162000535,54.2513779691523,1,1.36886850474513,1130.95238095238,160.191818656291
1032,1043.66891741074,83.6876620820977,1,1.11155428447691,1049.75661163896,65.4776143598054,1,1.20284448957206,1045.2413224434,83.8415125877658,1,1.1483043005266,1045.61844419056,62.9908359844215,1,1.23074611047793,1041.91583567138,83.5856386549652,1,1.14191299306426,1044.58720814486,60.5299894476021,1,1.31617099555458,1035.54176845071,82.8794911056501,NA,1.25812482752628,1042.67857673612,58.3465565463901,1,1.44634272786147,1156.46258503402,134.05243487247
