TrueAbun,EstF1,StdErrF1,ODTradF1,ODPercF1,StdErrFV1,EstF2,StdErrF2,ODTradF2,ODPercF2,StdErrFV2,EstF3,StdErrF3,ODTradF3,ODPercF3,StdErrFV3,EstF4,StdErrF4,ODTradF4,ODPercF4,StdErrFV4,EstSRS,StdErrSRS
1005,988.296998782373,49.5271098823217,1,1.41348499516113,58.4081216845404,986.068851672443,49.5615190338402,1,1.76038127607851,58.5991158916624,988.94494399748,49.8103994181102,1,1.51112685279958,59.4630488837209,1017.72885085592,56.505013288832,NA,1.49038798984114,67.2469939779927,1125.91332829428,109.747900923146
1066,1000.60441879101,49.4971561945639,1,1.71246998700003,60.2082039366492,994.506036050326,48.9929519301393,1,1.71050605335133,59.5807529541333,1003.34528480235,49.8549941317608,1,1.9258863544949,60.7046963289613,1016.56916350218,53.143661674878,NA,1.99734628957492,64.5247642957546,1149.53388762912,126.87733954152
956,840.833001284915,45.7693013549154,1,1.65065144388138,53.7629019325398,845.199510934239,46.3799526849548,1,1.84261074774788,54.4081318639663,854.166484473052,47.2654527610618,1,1.72730011116836,55.5204758876261,858.217140542928,48.119276411683,NA,1.68097725182146,56.4288738883341,956.632653061224,103.697503907509
1006,1025.71452967016,49.7328654582936,1,1.33365761982629,59.7916963394999,1024.57981657426,49.6977604065459,1,1.65745853254252,59.8337388636969,1030.26882480826,50.1990877084684,1,1.29571163928564,60.7676651211406,1029.26293255476,50.174225553688,1,1.30873414128906,60.7605585093921,1184.96472663139,120.401604219833
985,998.057846393019,50.4179981259488,1.02656370711957,1.22780623271599,60.0349544091641,978.658016942708,48.8710603704731,1,1.58203739562635,58.5004554752311,989.317477092248,50.0002293005903,1,1.59364434890338,59.8739188542868,987.597317386465,49.7852524302529,1,1.43195065110358,59.920165528282,1125.91332829428,114.499313855054
1008,1099.60165867429,51.9319806380425,1.05462610281001,1.33923541728827,63.2424980353526,1099.12055394354,51.9865178614699,1,1.53982484156261,63.6739735455421,1102.44546880301,52.3305708078239,1,1.60308735353643,64.0853483623247,1102.73972093874,52.3876770898619,1,1.79268696430524,64.1893392917669,1259.76316452507,127.435206075663
992,1065.48129769128,51.4075778244758,1.1471378563034,1.93883383386739,62.3457781631779,1053.61836837221,50.4668388976985,1,1.68891453435053,61.7043319668285,1056.34867679398,50.7722343098182,1,1.65488474618767,62.2944508151484,1060.6833532149,51.3552041691999,1,1.70833794064075,63.0437367720401,1216.45880574452,132.20849060451
957,872.89704909764,46.5859184995055,1,1.78191626606398,55.565862170361,874.709057943721,47.0257091883038,1,1.54937936166691,56.3934730374324,879.963099924777,47.4694734204367,1.28264810452398,1.35936467396975,57.1075132171971,883.294163337381,48.0083917653751,1.39115422773171,1.38162843214033,57.8358545146567,992.063492063492,116.790511179927
989,1026.87758637169,49.9843182634682,1,1.51984388921993,60.3479929375783,1029.59203302755,50.229813711181,1,1.52704560173913,60.8961239343803,1038.50576595108,51.1317173057889,1,1.59785809872522,61.9581639522485,1045.89626397421,52.0538902287545,1,1.5976725037443,63.0414450216406,1181.02796674225,127.140765257073
1032,1106.74859528699,52.2816373452522,1,1.47034384271993,62.7485407719617,1113.26130520748,53.0932770825883,1,1.23908677993543,63.914651308694,1111.0137973774,52.8957862634744,1,1.08404461497733,63.7456403089583,1119.91972514098,53.8208944724568,1,1.11897991607976,65.0067866270092,1263.69992441421,112.669910410301
